id,name,description,title,start_date,end_date,experience_type,job_type,job_location,min_years_required,type_of_insertion,is_verified,is_verified_client,daily_hours,created_by,created_at,updated_at,resource_id,client_id,pipeline_id,Closed
21,full stack developer intern at argoteam,"participated in daily scrum meetings. developed a comprehensive crm application to automate workflows, managing both backend and frontend development using fastapi, and react. created a robust resume parser to efficiently extract essential information, enhancing hr processes. authored detailed api documentation to support seamless integration and functionality understanding. built a ci/cd pipeline using github actions to automate the integration and deployment process. technologies & tools: fastapi, python, mysql, react/vite, redux, tailwind css, git, github, github actions, swaggerui, cpanel, figma, trello.",fullstack developer,2024-02-01 00:00:00,2024-07-01 00:00:00,0,1,"Rabat, morocco",,0.0,0,0,,,2024-09-11 10:17:02,2024-09-11 10:17:02,11.0,12.0,,
22,full stack developer intern at prefecture of temer,"developed a document management system for secure storage of contracts and official documents. managed document prefecture operations, including uploading, editing, archiving, and exporting. implemented a role-based authorization system with distinct roles: owner, admin, and user. technologies used: laravel, php, blade, tailwind css, mysql, git, github, docker.",fullstack developer,2023-08-01 00:00:00,2023-08-30 00:00:00,0,1,"Temera, morocco",,0.0,0,0,,,2024-09-11 10:17:02,2024-09-11 10:17:02,11.0,26.0,,
23,développeur full-stack at avaliance,"digitalisation du suivi dans le temps des pièces moteurs commandées en sous-traitance.  mise en place du socle applicatif. implémentation d’une architecture microfrontends/microservices en utilisant une approche ddd. développement des fonctionnalités du système. rédaction des tests techniques unitaires avec junit. optimisation des images docker et déploiement sur azure container app. technologies utilisées : java17, react, webpack, istio, docker, github pipelines, azure (acr, container app), keycloak, spring boot, spring cloud (eureka, config server, gateway), postgresql, junit, scrum.",fullstack developer,2023-02-01 00:00:00,,1,1,"Rabat, morocco",,0.0,0,0,,,2024-09-11 10:19:28,2024-09-11 10:19:28,14.0,27.0,,
24,développeur full-stack at berger-levrault,"e-sedit bl rh : logiciel de gestion des ressources humaines dédiée aux grandes collectivités locales (ex : maires, communes, …etc.). développement backend et frontend. tests unitaires avec junit. tests de bout en bout avec cypress. déploiement sur les différents environnements via gitlab ci. revue de code. technologies utilisées: intellij, eclipse, gitlab, java8, spring framework, oracle, junit, sonar, angular, cypress, jira, scrum.",fullstack developer,2021-11-01 00:00:00,2022-12-31 00:00:00,1,1,"Rabat, morocco",,0.0,0,0,,,2024-09-11 10:19:28,2024-09-11 10:19:28,14.0,28.0,,
25,développeur full-stack at sofrecom services maroc,"sirhus : refonte du module de gestion des congés du système d'information dédié au département interne rh de sofrecom. conception et implémentation des business process models (bpm) avec camunda. développement backend et frontend. tests unitaires avec junit. déploiement sur les différents environnements via gitlab ci. technologies utilisées: java8, spring boot, spring cloud (eureka, zuul gateway, config server), spring security, camunda, junit, sonar, angular, jira, scrum.",fullstack developer,2021-02-01 00:00:00,2021-09-30 00:00:00,1,1,"Rabat, morocco",,0.0,0,0,,,2024-09-11 10:19:28,2024-09-11 10:19:28,14.0,29.0,,
26,réalisation de modifications spécifiques pour amél,"réalisation de modifications spécifiques pour améliorer les fonctionnalités existantes de privategpt. conception et implémentation des apis en java spring boot. gestion des requêtes et des réponses via restful services. intégration avec la base de données pour un stockage efficace des données. sécurisation des endpoints avec des mécanismes d'authentification et d'autorisation. création d'une interface utilisateur dynamique et réactive en utilisant angular. intégration des apis backend pour une interaction fluide entre le frontend et le backend. design et mise en place d’une solution de chatbot génératif 100% local. technologies utilisée : python, fastapi, llamaindex, java, springboot, angular, postman",fullstack developer,2023-03-01 00:00:00,,1,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-11 10:19:44,2024-09-11 10:19:44,12.0,30.0,,
27,conception et réalisation d’une application agence,"conception et réalisation d’une application agence de voyage. technologies utilisées : springboot, jquery, bootstrap, docker.",fullstack developer,2023-07-01 00:00:00,2023-09-30 00:00:00,0,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-11 10:19:44,2024-09-11 10:19:44,12.0,31.0,,
28,conception et réalisation d’une application de dét,"conception et réalisation d’une application de détection faciale. technologies utilisées : python, opencv, sqllite, bootstrap.",backend developer,2022-07-01 00:00:00,2022-09-30 00:00:00,0,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-11 10:19:44,2024-09-11 10:19:44,12.0,31.0,,
29,conception et réalisation d’une application de ges,"conception et réalisation d’une application de gestion d’une banque sanguine. technologies utilisées : python, django, html, css, bootstrap, sql.",backend developer,2021-04-01 00:00:00,2021-06-30 00:00:00,0,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-11 10:19:44,2024-09-11 10:19:44,12.0,32.0,,
30,business analyst at sqli,"mission : - respect de la méthodologie et des cérémonies scrum - participation au product backlog grooming - préparation et participation aux workshops avec les parties prenantes - proposer des solutions pour répondre aux besoins des clients - conception d’interfaces, data models, jobs… - rédaction des spécifications fonctionnelles - préparation et présentation du sprint planning",business analyst,2021-10-01 00:00:00,,1,1,"Rabat, maroc",,0.0,0,0,,,2024-09-11 10:19:46,2024-09-11 10:19:46,13.0,33.0,,
31,freelance business analyst,"sgs (sept 2023 – aujourd’hui), arcelormittal (mai 2023 – sept 2023), etex (mars 2022 – avril 2023), airbus (oct 2021 – fev 2022)",business analyst,2021-10-01 00:00:00,,1,1,"Rabat, maroc",,0.0,0,0,,,2024-09-11 10:19:46,2024-09-11 10:19:46,13.0,24.0,,
32,développeur java/j2ee confirmé at sofrecom,mission : - respect de la méthodologie et des cérémonies scrum - participation au product backlog grooming - participation au sprint planning - participation aux réunions techniques avec l’architecte et les développeurs - analyse des spécifications fonctionnelles - conception et rédaction des spécifications techniques détaillées - développement de la solution - déroulement des tests unitaires - revue de code en guise d’apprentissage mutuel,backend developer,2017-03-01 00:00:00,2021-07-31 00:00:00,1,1,"Rabat, maroc",,0.0,0,0,,,2024-09-11 10:19:46,2024-09-11 10:19:46,13.0,34.0,,
33,développeur java/j2ee at capgemini,mission : - respect de la méthodologie lean - correction - maintenance - conception technique détaillée - réalisation/développement des évolutions - support et validation,backend developer,2015-08-01 00:00:00,2017-03-31 00:00:00,1,1,"Rabat, maroc",,0.0,0,0,,,2024-09-11 10:19:46,2024-09-11 10:19:46,13.0,35.0,,
34,javascript developer at smarter contracts,"as a javascript developer at smarter contracts, contributed to building secure, ethical, decentralized, and human-centric technology, focusing primarily on front-end applications and data privacy. actively involved in developing secure solutions, innovating with javascript and react, maintaining and enhancing web and mobile applications, and ensuring high-quality documentation.",frontend developer,,,2,0,Remote with occasional travel to london,,0.0,0,0,,,2024-09-11 10:19:51,2025-02-26 14:02:45,,36.0,,1.0
35,java junior position,"java junior position at oakland, involving tasks in java spring boot, spring data jpa, relational databases, http protocol, rest standard, swagger documentation, docker, clean code conventions, and microservices architecture principles.",backend developer,,,1,1,,,0.0,0,0,,,2024-09-11 10:19:52,2024-09-26 06:16:58,18.0,57.0,,
36,stage pfe chez dxc technology,"ingénieur développeur java/angular | février 2024 – juin 2024 | technopolis
développement d'un moteur de workflow dynamique.
la mise en place d’un framework des services génériques (opérations crud, approbation, la traçabilité (audit), reporting, authentification et sécurité jwt].
architecture micro services, rest apis.
réalisation d’un workflow générique avec flowable, et bpmn-js.
end to end testing avec protractor angular.
pipeline ci/cd et gestion des notifications sur slack.
spring boot, java, angular, tomcat, bpmn, jira, cucumber, mysql, swagger, figma, docker, eureka, kubernetes, springaop.",backend developer,2024-02-01 00:00:00,2024-06-01 00:00:00,0,1,"Technopolis, maroc",,0.0,0,0,,,2024-09-19 17:28:30,2024-09-19 17:28:30,16.0,38.0,,
37,développeur chez arb ing,"développeur java/reactjs | juillet 2023 – septembre 2023
mise en œuvre d'une plateforme de gestion des processus d’entreprise
authentication & authorization avec jwt, spring security.
docker pour la conteneurisation de l’app et sa mise en production.
spring boot, java, reactjs, tomcat, notion, postgresql, spring data jpa, insomnia, slack, docker, jira, bitbucket.",fullstack developer,2023-07-01 00:00:00,2023-09-01 00:00:00,1,1,"Kenitra, maroc",,0.0,0,0,,,2024-09-19 17:28:30,2024-09-19 17:28:30,16.0,39.0,,
38,développeur chez cabinet-cs,"développeur java/angular et ia
plateforme de comptabilité en temps réel avec analyse prédictive.
architecture micro services, rest apis
modèle de machine learning pour la prédiction des bénéfices, du chiffre d'affaires et les recommandations proactives.
authentication & authorization avec jwt, spring security.
java, angular, mysql, docker, swagger, jira, bitbucket, aha!, spring data jpa, slack.",fullstack developer,,,1,1,"Casablanca, maroc",,0.0,0,0,,,2024-09-19 17:28:30,2024-09-19 17:28:30,16.0,40.0,,
39,stage operationnel chez elite info-elect,"développeur fullstack | juillet 2022 – septembre 2022
intégration de l’ia pour optimiser le traitement des données.",fullstack developer,2022-07-01 00:00:00,2022-09-01 00:00:00,0,1,Maroc,,0.0,0,0,,,2024-09-19 17:28:30,2024-09-19 17:28:30,16.0,41.0,,
40,developer / tech lead backend java/spring boot at ,"project : development of the backend modules of the online bank sogé. realization of new features in compliance with the standards. correction of anomalies. processing functional feedback. supervision of junior developers. perform unit tests (junit/mockito) and integration tests (spring cloud contract). development of batch processes for the follow-up of prospects. technologies : java 8, spring (boot, ioc, data, security, batch), spring cloud contract, jenkins, sonar, docker, kubernetes, maven, git, junit, mockito, minio (documents management).",backend developer,2022-03-01 00:00:00,,1,0,"Casablanca, morocco",,0.0,0,0,,,2024-09-19 17:28:35,2024-09-19 17:28:35,15.0,42.0,,
41,senior java developer at jobillico,"project : development and maintenance of the backend applications responsible for sending partner alerts to applicants. (https://www.jobillico.com/en). implementation of new features in compliance with standards. correction of anomalies. implementing and customizing elasticsearch script engines. writing es queries to fetch data. writing unit tests using junit. refactoring code base based on those unit tests. technologies : java 8, jenkins, sonar, docker, kubernetes, maven, git, junit, elasticsearch v7.17. architecture : monolithique. méthodologie: scrum agile.",backend developer,2022-03-01 00:00:00,2022-08-31 00:00:00,1,0,"Québec, canada",,0.0,0,0,,,2024-09-19 17:28:35,2024-09-19 17:28:35,15.0,43.0,,
42,tech lead java at mytower,"project : design and implementation of a software for the management of logistics and transport processes. realization of new features in compliance with the standards. correction of anomalies. processing functional feedback. supervision of junior developers. realization of unit and integration tests. technologies : java 11, kafka, spring (boot, ioc, data, security), jwt, angular 9, jenkins, sonar, docker, kubernates, gerrit, gradle, junit, mockito.",backend developer,2021-09-01 00:00:00,2022-02-28 00:00:00,1,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-19 17:28:35,2024-09-19 17:28:35,15.0,44.0,,
43,senior back-end developer at sofrecom business ser,"project : shine-2 : connecting small businesses and start-ups with customers through the shine-2 application and more specifically orange, the leading telecom company in france. participation in the development of the shine-2 platform for the first telecom operator in france, orange. analysis and correction of anomalies. writing of the documentation. participation in agile ceremonies. technologies: java/jee 8, spring boot, spring framework, spring data, junit, test cucumber, architecture micro-service, cloud foundry, angular, maven, jira, gitlab, scrum.",backend developer,2019-09-01 00:00:00,2021-08-31 00:00:00,1,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-19 17:28:35,2024-09-19 17:28:35,15.0,45.0,,
44,java design and development engineer at sqli digit,"project : design and implementation of a claim and reimbursement system for transport delays - allianz se. development of microservices. development of graphical interfaces using angular 6. creation of the database schema. realization of the unit tests. technologies : java 8, spring framework (ioc, boot, batch, security, integration, cloud data flow), architecture microservices, mapstruct, angular 6 / material design, git / svn, jenkins, base de données mysql, junit, scrum agile. project : design and implementation of an integrated purchasing management is for the national ports agency (anp). develop guis with jsf / primefaces and dynamic aspects using javascript. development of rest/soap web services in the backend. management of authorizations and privileges (security aspect) in the whole application. processing of customer feedback and resolution of anomalies and regressions. management of automated tests. technologies utilisées : java 7/ javaee (servlets, cdi, ...), primfaces / jsf ,hibernate / oracledb / dozer, sso, soap / rest web services, arquillian, alfresco, javascript.",backend developer,2017-08-01 00:00:00,2021-08-31 00:00:00,1,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-19 17:28:35,2024-09-19 17:28:35,15.0,46.0,,
45,ingénieur logiciel,"dibsy aide les entreprises du qatar à accepter les paiements en ligne de n'importe qui, n'importe où dans le monde. création et maintenance de la partie administrative de notre entreprise. régler les paiements et les remboursements en utilisant les api de paiement par carte. générer des rapports de paiement et les télécharger sur dropbox. générer automatiquement des factures et des paiements et les envoyer à quickbooks",fullstack developer,2023-07-01 00:00:00,,2,1,"Qatar, qatar",,0.0,0,0,,,2024-09-19 17:38:41,2024-09-19 17:38:41,17.0,47.0,,
46,stage ingénieur logiciel,"inwi est un opérateur digital global, couvrant l'ensemble des services des télécommunications à destination du grand public et des entreprises au maroc. développement d'une plateforme complète intégrant des données géospatiales pour visualiser et analyser l'infrastructure physique d'un réseau à l'aide de java, react, postgres, neo4j, rabbitmq et de la bibliothèque apoc. implémentation des algorithmes avancés conçus pour prévoir les interruptions réseau, en ciblant spécifiquement les déconnexions de sites causées par des troncatures ou des anomalies de câbles.",fullstack developer,2024-02-01 00:00:00,2024-06-01 00:00:00,0,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-19 17:38:41,2024-09-19 17:38:41,17.0,48.0,,
47,ingénieur full stack,"light house technology est une agence digitale & marketing opérant au maroc, france et canada. conception et développement de plusieurs applications web dynamiques et responsives utilisant spring boot, laravel et react. récupérer et visualiser des données de différentes sources de données (api rest) à l'aide de postman. sécuriser les applications web avec spring security. analyser les spécifications et évaluer leur faisabilité technique. collaborer avec les spécialistes de l'équipe (dba, qa, architecte, etc.). contribuer au support client.",fullstack developer,2020-05-01 00:00:00,2022-02-01 00:00:00,1,1,"Casablanca, morocco",,0.0,0,0,,,2024-09-19 17:38:41,2024-09-19 17:38:41,17.0,49.0,,
48,software engineer at sofrecom - orange,"software engineer, project : payment and billing orchestrator (from scratch) : java 17, spring/springboot, angular ts, spring/spring-boot 3, gitlab, cloudfoundry, mariadb, liquibase, maven, rest api, microservices, docker, ...",fullstack developer,2023-09-01 00:00:00,2024-02-01 00:00:00,1,1,"Maroc, mohammedia",,0.0,0,0,,,2024-09-19 17:40:37,2024-09-19 17:40:37,18.0,50.0,,
49,junior consultant dev cbs (core banking system) at,junior consultant dev cbs (core banking system),fullstack developer,2023-01-01 00:00:00,2023-08-01 00:00:00,1,1,"Maroc, crédit du maroc",,0.0,0,0,,,2024-09-19 17:40:37,2024-09-19 17:40:37,18.0,51.0,,
50,software developer (hr tools) at dell technologies,"java 11, spring/springboot, angular ts, docker, kubernetes",backend developer,2021-01-01 00:00:00,2022-01-01 00:00:00,1,1,"Maroc, dell technologies",,0.0,0,0,,,2024-09-19 17:40:37,2024-09-19 17:40:37,18.0,52.0,,
51,network technical support at majorel - orange,,backend developer,2019-01-01 00:00:00,2020-01-01 00:00:00,1,1,"Maroc, majorel",,0.0,0,0,,,2024-09-19 17:40:37,2024-09-19 17:40:37,18.0,53.0,,
52,mobile technical support at résolution call - free,,backend developer,2016-04-01 00:00:00,2016-07-01 00:00:00,0,1,"Maroc, résolution call",,0.0,0,0,,,2024-09-19 17:40:37,2024-09-19 17:40:37,18.0,54.0,,
53,expertise support at bpce services financiers,"part of the back office and delivery payment team. responsibilities included analyzing client needs, estimating and planning tasks, defining financial operation models, writing specifications for back-office processes, system parameterization, documenting changes, preparing test plans, executing tests, drafting validation documents, and providing level 2 support.",business analyst,,,2,1,"France, paris, 75013",,0.0,0,0,,,2024-09-23 13:53:14,2024-09-23 13:53:14,,55.0,,
54,BackOffice consultant,Managing backoffice tasks,sales_manager,2024-05-03 11:01:00,2024-10-06 11:02:00,2,0,Rabat,1.0,0.0,0,0,,,2024-09-25 11:02:33,2024-09-25 11:02:33,9.0,56.0,,
56,responsable rh at argoteam,gestion du recrutement. acquisition de talents. gestion de la marque employeur. conformité légale et réglementaire.,human resources,2024-02-20 00:00:00,,2,1,"Casablanca, maroc",,0.0,0,0,,,2024-09-30 16:53:50,2024-09-30 16:53:50,19.0,12.0,,
57,téléconseiller at ux centres,réception et émission d'appels. traitement des demandes des clients. fidélisation des clients. ventes de produits.,human resources,2023-06-10 00:00:00,2023-12-10 00:00:00,2,1,"Rabat, maroc",,0.0,0,0,,,2024-09-30 16:53:50,2024-09-30 16:53:50,19.0,109.0,,
58,professeure vacataire at isat rabat,"enseignement et préparer les examens, les corriger. animation des cours. organisation des activités au sein de isat.",human resources,2020-11-03 00:00:00,2022-09-03 00:00:00,1,1,"Rabat, maroc",,0.0,0,0,,,2024-09-30 16:53:50,2024-09-30 16:53:50,19.0,110.0,,
59,gérante at saïd events,"recueillir les clients, vente. assurance du bon déroulement de l'activité.",sales manager,2019-01-01 00:00:00,2020-01-01 00:00:00,2,1,"Rabat, maroc",,0.0,0,0,,,2024-09-30 16:53:51,2024-09-30 16:53:51,19.0,111.0,,
60,ingénieur java jee : projet gestion de la demande ,"c’est un projet visant à gérer les demandes d'accord client pour les services d'électricité et de gaz. les consommateurs soumettaient leurs demandes via une application mobile ou web. optimisation des performances des batchs de dépôt et de réception des demandes d'accords. participation à la rédaction des spécifications pour la refonte de tous les services de gestion des demandes d’accords gaz et électricité. implémentation de nouveaux services destinés à être consommés par de nouveaux consommateurs. mise en place d'un système d'archivage efficace pour les fichiers déposés dans la bucket s3, avec des mécanismes de purge pour maintenir la propreté et l'organisation du stockage. transition vers une solution plus efficace en intégrant directement le service octopus pour l’envoi de correspondance après l'arrêt du service sinso. refonte de la trame de l'api d'envoi de mails. environnement technique : java 8, spring 2.7.9(core, boot, data, batch), git,hibernate 5.3.7, webservice( rest et soap),junit, maven, sonar, jenkins ,docker, méthode agile(safe),kibana,grafana,aws.",backend developer,2023-11-01 00:00:00,,1,1,"Morocco, casablanca",,0.0,0,0,,,2024-10-23 09:20:20,2024-10-23 09:20:20,21.0,112.0,,
61,ingénieur java jee : projet import catalog - chane,"initiative visant à optimiser les performances du système d'importation de catalogue pour chanel. analyse approfondie des performances des processus batch existants, suivie par la conception et l'implémentation de nouvelles versions pour diverses catégories de catalogues, incluant une évaluation comparative des performances. refonte complète de la logique de synchronisation des données de catalogue pour renforcer l'efficacité du processus. amélioration de la qualité du code source via l'adoption de meilleures pratiques de développement environnement technique : java 11, spring 2.1.3, git, sonar, docker, azure devops, hybris 19.05",backend developer,2021-02-01 00:00:00,2023-10-01 00:00:00,1,1,"Morocco, rabat",,0.0,0,0,,,2024-10-23 09:20:20,2024-10-23 09:20:20,21.0,33.0,,
62,maintenance évolutive - chanel corpo,"le projet consiste en une maintenance évolutive, visant à gérer des pages essentielles de la plateforme chanel corpo, notamment les politiques, les faq et les pages de contact. création de nouvelles pages faq, contact et politiques de confidentialité pour différents groupes de pays, répondant aux besoins spécifiques de chaque région. gestion des paramètres régionaux pour les services faq, le contact et les pages de politique, permettant une personnalisation efficace selon les besoins locaux. développement d'une fonctionnalité d'importation des questions-réponses et des catégories des pages faq au format .csv, simplifiant ainsi le processus de mise à jour et assurant l'exactitude des informations. refonte de la page des politiques de confidentialité avec un mappage entre les locales et les langues, garantissant une gestion plus efficace et cohérente du contenu à l'échelle mondiale. gestion du contenu, de la configuration et du mappage des différentes pages du site dans le back-office d'hybris, assurant une gestion centralisée et efficace des informations.",backend developer,,,1,1,"Morocco, rabat",,0.0,0,0,,,2024-10-23 09:20:20,2024-10-23 09:20:20,21.0,33.0,,
63,senior full stack engineer at carrefour,"building an internal application for handling help and support management, performed by specific agents each belonging to one or more expertises while synchronizing the process with external applications such as google workplace. mission details: full stack development (spring boot, node js, angular), implementing hexagonal architecture and ddd practices, elaboration of technical choices, creating common logging and tracing mechanisms across different microservices, implementing new features, implementing unit and integration tests, implement cloud notification and queuing assets (aws sns and sqs services), implementing various ways to exchange data among microservices (http/rest, webhook, push notifications,...), bug fix and maintenance, build and deploy via gitlab ci/cd pipelines to kubernetes cluster, technical documentation, participating and contributing in scrum ceremonies (dms, sprint planning, refinement, grooming, etc). tools and technologies: java 17, spring boot, spring mvc, spring rest, spring data, spring aop, graphql, nodejs, junit, mockito, gradle, mongodb, postgresql, aws (sns/sqs, s3 storage, cloud watch, etc), docker, kubernetes, lens, gitlab ci, postman, datadog.",fullstack developer,2023-03-01 00:00:00,,2,1,"Morocco, casablanca, 11100, morocco",,0.0,0,0,,,2024-10-23 09:20:44,2024-10-23 09:20:44,22.0,113.0,,
64,java technical leader at alithya,"building an internal application to manage the corporate's hr management, project organization and hiring workflows. the projects follow the microservices architecture and agile methodologies (scrum). mission details: full stack development (spring boot, angular), implementing hexagonal architecture and ddd practices, deploying kafka servers, managed by zookeeper on k8s cluster (security via tls+persistence+replication), elaboration of technical choices, supporting and integrating new team members, ensuring code quality, implementing unit, architecture and integration tests, implementing synchronous (rest api) and asynchronous communication (kafka, azure event hub), bug fix and maintenance, build and deploy via azure dev ops pipelines to kubernetes cluster, technical documentation, participating and contributing in scrum ceremonies (dms, sprint planning, refinement, grooming, etc). tools and technologies: java 17, spring boot, spring mvc, spring rest, spring data redis, spring aop, junit, mockito, gradle, soap, soap ui, kafka, redis, azure (event hub, blob storages, cosmosdb, etc), docker, kubernetes, lens, gatling, postman.",fullstack developer,2021-11-01 00:00:00,2023-03-01 00:00:00,2,1,"Morocco, tangier, 11100, morocco",,0.0,0,0,,,2024-10-23 09:20:44,2024-10-23 09:20:44,22.0,114.0,,
65,full stack engineer at cegedim,"building a saas solution in the medical insurance field. a massive application following the microservices architecture as well as the best practices and modern technological trends. mission details: full stack development (spring boot, node js, react js), elaboration of technical choices, implementing unit and integration tests, bugs fix and maintenance, technical documentation, build and deploy via gitlab ci/cd pipelines to kubernetes cluster, interprocess communication via rest api and kafka messaging system, participation and contribution in scrum ceremonies (dms, sprint planning, refinement, grooming, etc). tools and technologies: java11, spring boot, spring mvc, spring rest, spring data, spring batch, spring aop, soap, junit, mockito, gradle, react js, npm, kafka, bitbucket, mongodb, jmeter, graalvm, flyway, postgresql, cucumber, docker, kubernetes, aws (s3 storage, cloudwatch), postman.",fullstack developer,2019-07-01 00:00:00,2021-09-01 00:00:00,2,1,"Morocco, rabat, 11100, morocco",,0.0,0,0,,,2024-10-23 09:20:44,2024-10-23 09:20:44,22.0,115.0,,
